ENSRNOG00000000034_Nuak2,"[2, 0, 2]","[2, 1, 1]","[2, 0, 2]","[2, 0, 0]","[2, 1, 2]","[2, 0, 2]"
ENSRNOG00000000040_RGD1304622,[0],[0],[1],[0],[1],[0]
ENSRNOG00000000043_Idua,"[2, 2, 2]","[2, 2, 2]","[2, 2, 2]","[1, 1, 2]","[2, 2, 2]","[2, 2, 2]"
ENSRNOG00000000053_Crp,"[2, 2]","[1, 1]","[2, 2]","[1, 1]","[1, 1]","[2, 2]"
ENSRNOG00000000066_Fbxo28,[0],[1],[0],[0],[0],[0]
ENSRNOG00000000081_Antxr2,[0],[1],[2],[2],[1],[1]
ENSRNOG00000000082_Hltf,"[2, 2]","[0, 0]","[1, 1]","[0, 0]","[1, 1]","[1, 1]"
ENSRNOG00000000096_Pdzk1,[0],[0],[2],[0],[1],[1]
ENSRNOG00000000097_Cd160,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
ENSRNOG00000000112_Champ1,"[2, 2]","[1, 1]","[2, 2]","[1, 1]","[0, 0]","[1, 1]"
ENSRNOG00000000121_Pigv,[1],[2],[1],[1],[1],[0]
ENSRNOG00000000138_Glis1,[0],[0],[0],[1],[1],[1]
ENSRNOG00000000142_Plxdc2,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000158_Cdo1,"[1, 1]","[1, 1]","[0, 0]","[0, 0]","[0, 0]","[0, 0]"
ENSRNOG00000000175_Mier2,"[2, 2, 2]","[1, 1, 1]","[0, 0, 0]","[1, 1, 1]","[1, 1, 1]","[1, 1, 1]"
ENSRNOG00000000184_Tmprss6,"[1, 1]","[0, 2]","[0, 2]","[0, 2]","[0, 2]","[0, 2]"
ENSRNOG00000000187_Csf2rb,"[1, 1, 1, 1]","[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]","[2, 2, 2, 2]"
ENSRNOG00000000196_Cyp19a1,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000230_Lmf1,"[1, 0, 0, 1]","[1, 0, 1, 0]","[0, 1, 1, 0]","[0, 1, 0, 1]","[0, 1, 1, 0]","[0, 2, 0, 0]"
ENSRNOG00000000233_Grm6,"[0, 0]","[0, 0]","[0, 0]","[1, 0]","[0, 0]","[0, 0]"
ENSRNOG00000000244_Coil,[2],[2],[2],[2],[2],[2]
ENSRNOG00000000274_Phyhipl,[0],[1],[0],[0],[0],[0]
ENSRNOG00000000275_Fam13c,"[0, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
ENSRNOG00000000277_Tet1,"[2, 2, 0]","[2, 2, 0]","[2, 2, 0]","[2, 2, 1]","[2, 2, 0]","[2, 2, 2]"
ENSRNOG00000000279_Rtn4ip1,[0],[1],[1],[0],[1],[1]
ENSRNOG00000000281_Prodh1,[0],[0],[0],[0],[0],[0]
ENSRNOG00000000288_Scarf2,[0],[0],[0],[1],[0],[0]
ENSRNOG00000000303_Cep57l1,[0],[1],[0],[0],[0],[0]
ENSRNOG00000000304_Cd164,"[0, 0, 0]","[1, 1, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
ENSRNOG00000000321_Cd24,[1],[1],[1],[1],[1],[1]
